Name,Full Ticker,Ticker,Sector,Market Cap,Net Debt,Enterprise Value (EV),Revenue,Revenue Forecast CAGR (10y),Avg EBITDA Margin Forecast (10y),Avg Capital Expenditures Margin (5y),Marginal Tax Rate,Industry,Operating Region,Operating Country
Apple Inc.,NASDAQGS:AAPL,AAPL,Information Technology,2457870.383,-58153,2399717.383,347155,0.0619,0.3113,0.0443,0.2,"Technology Hardware, Storage & Peripherals",United States,United States
Microsoft Corporation,NASDAQGS:MSFT,MSFT,Information Technology,2321141.544,-47978,2273163.544,168088,0.0817,0.4285,0.105,0.14,Software,United States,United States
Alphabet Inc.,NASDAQGS:GOOG,GOOG,Communication Services,1841240.737,-108353,1706764.737,220265,0.1527,0.4116,0.1366,0.15,Interactive Media & Services,United States,United States
Alphabet Inc.,NASDAQGS:GOOG.L,GOOG.L,Communication Services,1841240.737,-108353,1706764.737,220265,0.1527,0.4116,0.1366,0.15,Interactive Media & Services,United States,United States
"Amazon.com, Inc.",NASDAQGS:AMZN,AMZN,Consumer Discretionary,1689257.677,33353,1722610.677,443298,0.132,0.225,0.0705,0.19,Internet & Direct Marketing Retail,United States,United States
"Facebook, Inc.",NASDAQGS:FB,FB,Communication Services,915219.8795,-51517,863702.8795,104790,0.1462,0.5083,0.1925,0.18,Interactive Media & Services,United States,United States
"Tesla, Inc.",NASDAQGS:TSLA,TSLA,Consumer Discretionary,900596.9889,-7941,894096.9889,46848,0.2622,0.2373,0.1669,0.25,Automobiles,United States,United States
Tencent Holdings Limited,OTCPK:TCEH.Y,TCEH.Y,Communication Services,624235.8595,11638.8162,506616.8397,82494.9281,0.1228,0.3016,0.0592,0.15,Interactive Media & Services,Asia / Pacific,China
Tencent Holdings Limited,OTCPK:TCTZ.F,TCTZ.F,Communication Services,624235.8595,11638.8162,506616.8397,82494.9281,0.1228,0.3016,0.0592,0.15,Interactive Media & Services,Asia / Pacific,China
NVIDIA Corporation,NASDAQGS:NVDA,NVDA,Information Technology,567240.96,-6863,560377.96,21897,0.1378,0.3789,0.0491,0.15,Semiconductors & Semiconductor Equipment,United States,United States
Taiwan Semiconductor Manufacturing Company Limited,NYSE:TSM,TSM,Information Technology,557842.5338,-14265.6755,544540.9131,54254.0692,0.0689,0.733,0.3816,0.12,Semiconductors & Semiconductor Equipment,Asia / Pacific,Taiwan
Visa Inc.,NYSE:V,V,Information Technology,491783.9107,1756,496671.9107,22647,0.0862,0.7139,0.0344,0.26,IT Services,United States,United States
Alibaba Group Holding Limited,NYSE:BABA,BABA,Consumer Discretionary,481729.3556,-46787.5672,380312.4509,119136.7642,0.1362,0.2252,0.0783,0.19,Internet & Direct Marketing Retail,Asia / Pacific,China
Alibaba Group Holding Limited,OTCPK:BABA.F,BABA.F,Consumer Discretionary,481729.3556,-46787.5672,379840.4366,119136.7642,0.1362,0.2252,0.0783,0.19,Internet & Direct Marketing Retail,Asia / Pacific,China
Johnson & Johnson,NYSE:JNJ,JNJ,Healthcare,430989.9681,6499,437488.9681,91446,0.0243,0.3842,0.0425,0.14,Pharmaceuticals,United States,United States
UnitedHealth Group Incorporated,NYSE:UNH,UNH,Healthcare,423520.7641,25880,405996.7641,279321,0.0623,0.0957,0.0089,0.26,Healthcare Providers & Services,United States,United States
Walmart Inc.,NYSE:WMT,WMT,Consumer Staples,413645.766,38664,447477.766,566145,0.0224,0.0673,0.0201,0.31,Food & Staples Retailing,United States,United States
"Samsung Electronics Co., Ltd.",OTCPK:SSNL.F,SSNL.F,Information Technology,401706.6653,-83284.1371,321813.6781,227906.841,0.0322,0.3207,0.1399,0.27,"Technology Hardware, Storage & Peripherals",Asia / Pacific,South Korea
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",OTCPK:LVMH.F,LVMH.F,Consumer Discretionary,391357.3318,35371.2049,429079.1656,65136.3852,0.0949,0.2833,0.0545,0.29,"Textiles, Apparel & Luxury Goods",Europe,France
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",OTCPK:LVMU.Y,LVMU.Y,Consumer Discretionary,391357.3318,35371.2049,429079.1656,65136.3852,0.0949,0.2833,0.0545,0.29,"Textiles, Apparel & Luxury Goods",Europe,France
"The Home Depot, Inc.",NYSE:HD,HD,Consumer Discretionary,386250.7291,37782,424032.7291,144415,0.0333,0.1668,0.0201,0.29,Specialty Retail,United States,United States
Mastercard Incorporated,NYSE:MA,MA,Information Technology,353926.6043,6478,360531.6043,16640,0.0925,0.6321,0.0226,0.24,IT Services,United States,United States
Nestlé S.A.,OTCPK:NSRG.F,NSRG.F,Consumer Staples,351513.0148,41602.9916,369885.379,92193.63,0.0393,0.2178,0.0444,0.22,Food Products,Europe,Switzerland
Nestlé S.A.,OTCPK:NSRG.Y,NSRG.Y,Consumer Staples,351513.0148,41602.9916,373155.2367,92193.63,0.0393,0.2178,0.0444,0.22,Food Products,Europe,Switzerland
The Procter & Gamble Company,NYSE:PG,PG,Consumer Staples,340801.2513,22177,364134.2513,77138,0.017,0.2749,0.0488,0.24,Household Products,United States,United States
Roche Holding AG,OTCPK:RHHB.F,RHHB.F,Healthcare,338265.2211,8882.8126,343947.918,67113.3831,0.0381,0.4381,0.0642,0.22,Pharmaceuticals,Europe,Switzerland
Roche Holding AG,OTCPK:RHHB.Y,RHHB.Y,Healthcare,338265.2211,8882.8126,347652.0684,67113.3831,0.0381,0.4381,0.0642,0.22,Pharmaceuticals,Europe,Switzerland
Roche Holding AG,OTCPK:RHHV.F,RHHV.F,Healthcare,338265.2211,8882.8126,347652.0684,67113.3831,0.0381,0.4381,0.0642,0.22,Pharmaceuticals,Europe,Switzerland
ASML Holding N.V.,NASDAQGS:ASML,ASML,Information Technology,329395.6948,-405.7282,327311.7927,20732.3748,0.0862,0.4017,0.0538,0.12,Semiconductors & Semiconductor Equipment,Europe,Netherlands
ASML Holding N.V.,OTCPK:ASML.F,ASML.F,Information Technology,329395.6948,-405.7282,311000.4119,20732.3748,0.0862,0.4102,0.054,0.12,Semiconductors & Semiconductor Equipment,Europe,Netherlands
The Walt Disney Company,NYSE:DIS,DIS,Communication Services,307857.5877,39768,357453.5877,63591,0.0807,0.2131,0.0685,0.25,Entertainment,United States,United States
Adobe Inc.,NASDAQGS:ADBE,ADBE,Information Technology,306215.364,-1479,304736.364,15099,0.108,0.5054,0.0301,0.14,Software,United States,United States
"Netflix, Inc.",NASDAQGS:NFLX,NFLX,Communication Services,294465.7595,10479.927,304945.6865,28632.968,0.1327,0.3121,0.0147,0.13,Entertainment,United States,United States
Prosus N.V.,OTCPK:PROS.F,PROS.F,Consumer Discretionary,291033.6601,2291,248612.4396,5116,0.0758,0.089,0.0269,0.14,Internet & Direct Marketing Retail,Europe,Netherlands
Prosus N.V.,OTCPK:PROS.Y,PROS.Y,Consumer Discretionary,291033.6601,2291,248612.4396,5116,0.0758,0.089,0.0269,0.14,Internet & Direct Marketing Retail,Europe,Netherlands
"salesforce.com, inc.",NYSE:CRM,CRM,Information Technology,286416.24,6124,288435.24,23539,0.17,0.2376,0.0441,0.14,Software,United States,United States
"PayPal Holdings, Inc.",NASDAQGS:PYPL,PYPL,Information Technology,282477.7289,-2705,272804.7289,23846,0.1778,0.3208,0.0487,0.16,IT Services,United States,United States
Oracle Corporation,NYSE:ORCL,ORCL,Information Technology,268584.6532,43408,312403.6532,40840,0.0442,0.5064,0.0461,0.15,Software,United States,United States
Exxon Mobil Corporation,NYSE:XOM,XOM,Energy,267222.4913,57147,295183.4913,215879,0.045,0.1962,0.0793,0.26,"Oil, Gas & Consumable Fuels",United States,United States
"NIKE, Inc.",NYSE:NKE,NKE,Consumer Discretionary,258759.0404,-905,257854.0404,46192,0.0551,0.1868,0.0271,0.14,"Textiles, Apparel & Luxury Goods",United States,United States
L'Oréal S.A.,OTCPK:LRLC.F,LRLC.F,Consumer Staples,251926.3769,-2814.0417,241180.4527,35711.8121,0.0625,0.2417,0.046,0.26,Personal Products,Europe,France
L'Oréal S.A.,OTCPK:LRLC.Y,LRLC.Y,Consumer Staples,251926.3769,-2814.0417,241180.4527,35711.8121,0.0625,0.2417,0.046,0.26,Personal Products,Europe,France
Comcast Corporation,NASDAQGS:CMCS.A,CMCS.A,Communication Services,248855.5526,91373,333436.5526,108991,0.025,0.3288,0.1071,0.26,Media,United States,United States
Novo Nordisk A/S,NYSE:NVO,NVO,Healthcare,242582.5311,-2145.239,245044.7366,20717.2166,0.0676,0.4509,0.0676,0.2,Pharmaceuticals,Europe,Denmark
Novo Nordisk A/S,OTCPK:NONO.F,NONO.F,Healthcare,242582.5311,-2145.239,241140.2005,20717.2166,0.0676,0.4509,0.0676,0.2,Pharmaceuticals,Europe,Denmark
Toyota Motor Corporation,NYSE:TM,TM,Consumer Discretionary,242174.8461,149342.5575,162784.4152,275008.8222,0.0385,0.1447,0.125,0.22,Automobiles,Asia / Pacific,Japan
Toyota Motor Corporation,OTCPK:TOYO.F,TOYO.F,Consumer Discretionary,242174.8461,149342.5575,168769.2573,275008.8222,0.0385,0.1447,0.125,0.22,Automobiles,Asia / Pacific,Japan
Pfizer Inc.,NYSE:PFE,PFE,Healthcare,241984.6694,17540,238832.6694,55520,0.0142,0.5081,0.0433,0.15,Pharmaceuticals,United States,United States
Thermo Fisher Scientific Inc.,NYSE:TMO,TMO,Healthcare,240756.6294,11768,252524.6294,38250,0.0564,0.2834,0.0331,0.1,Life Sciences Tools & Services,United States,United States
The Coca-Cola Company,NYSE:KO,KO,Consumer Staples,235039.8884,29010,244459.8884,36412,0.0446,0.3449,0.0471,0.19,Beverages,United States,United States
"Cisco Systems, Inc.",NASDAQGS:CSCO,CSCO,Information Technology,232439.4264,-11833,220606.4264,49818,0.0193,0.3014,0.0176,0.2,Communications Equipment,United States,United States
Meituan,OTCPK:MPNG.F,MPNG.F,Consumer Discretionary,228183.0263,-10783.4056,214707.0942,23711.336,0.1781,0.1329,0.05,0.19,Internet & Direct Marketing Retail,Asia / Pacific,China
Meituan,OTCPK:MPNG.Y,MPNG.Y,Consumer Discretionary,228183.0263,-10783.4056,214772.4683,23711.336,0.1781,0.1329,0.05,0.19,Internet & Direct Marketing Retail,Asia / Pacific,China
Abbott Laboratories,NYSE:ABT,ABT,Healthcare,224651.4145,9557,234437.4145,42308,0.047,0.3262,0.05,0.16,Healthcare Equipment & Supplies,United States,United States
Danaher Corporation,NYSE:DHR,DHR,Healthcare,223934.0989,22074,249286.0989,28065,0.0627,0.3329,0.0354,0.19,Healthcare Equipment & Supplies,United States,United States
Accenture plc,NYSE:ACN,ACN,Information Technology,223468.164,-4665.834,219369.99,50533.389,0.0377,0.1834,0.0138,0.19,IT Services,United Kingdom & Ireland,Ireland
"PepsiCo, Inc.",NASDAQGS:PEP,PEP,Consumer Staples,221182.9913,34407,252916.9913,76681,0.037,0.1986,0.0539,0.29,Beverages,United States,United States
Eli Lilly and Company,NYSE:LLY,LLY,Healthcare,220979.0927,11616.8,232814.9927,26726.3,0.0687,0.4402,0.0518,0.15,Pharmaceuticals,United States,United States
Verizon Communications Inc.,NYSE:VZ,VZ,Communication Services,219136.3403,168152,388733.3403,134238,0.0084,0.3804,0.1369,0.22,Diversified Telecommunication Services,United States,United States
Chevron Corporation,NYSE:CVX,CVX,Energy,218145.2673,35457,213780.2673,116033,0.051,0.2731,0.1086,0.34,"Oil, Gas & Consumable Fuels",United States,United States
